name,company,city,address,latitude,longitude
Malath Assurance et Courtage,Saham,Rabat,"N° 01, IMM 112, el khattabi, Lot Merhat Av. Abdelkrim El Khattabi, Témara 12000, Morocco",33.9167941,-6.9117696
bureau-direct zurich-assurances- KARYA-SALE,Saham,Rabat,"269Q+V6V, Av. Moulay Rachid, Salé, Morocco",34.0197258,-6.761949
Assurance RADI,Saham,Rabat,"367P+XH7, Av. de l'Aviation, Salé, Morocco",34.0649027,-6.7635687
Sanad assurances,Saham,Rabat,"Dar El Hamra, 263 Av. Mohamed V, Salé 11000, Morocco",34.0544417,-6.7938916
SAHAM ASSURANCE ALKARIASSUR BOUZNIKA,Saham,Rabat,"Bouznika, Morocco",33.7803788,-7.1585248
Sanlam - AV MERS EL KHEIR,Sanlam,Rabat,"Lotissement El Kheir n° 175, Mers El Kheir 12025, Morocco",33.87296,-6.91972
Net assurances,Saham,Rabat,"N 6 IMM MKOUNE, Avenue Hassan II, Skhirat 12050, Morocco",33.8454909,-7.0452738
Assurance BCS Bureau de Courtage Salé,Saham,Rabat,"Av. Mohamed V, Salé, Morocco",34.0628187,-6.7811818
Wafa assurance-MassirAssurance,Wafa assurance,Rabat,"N 7, SECT 5 Bd Omar Ibn Al Khattab, Témara 12000, Morocco",33.9236227,-6.8887915
Wafa Assurance - Bureau Direct Rabat Al Majd,Wafa assurance,Rabat,"Avenue ALMAJD amal 2 bloc A N° 623 2 éme etage rue INBIAT ,CYM RABAT، Rabat 10000, Morocco",33.9807919,-6.8781451
Wafa insurance ALAMI,Wafa assurance,Rabat,"5 Av. Ibn Sina, Rabat 10090, Morocco",34.0006768,-6.851195
WAFA ASSURANCE - Assurances Draouchi,Wafa assurance,Rabat,"Avenue Driss Ben Bouchaib EL HRIZI Résidence Oussama 14, N°10, Salé 11000, Morocco",34.0747312,-6.789001
Wafa Assurance,Wafa assurance,Rabat,"rue beni hmida Nahda 2, Rabat, Morocco",33.971605,-6.8498318
Wafa Assurance,Wafa assurance,Rabat,"Collège Oum Al Banine, 38, Av. Tadla, Rabat, Morocco",33.9949594,-6.8220238
Wafa assurance,Wafa assurance,Rabat,"W33J+H33, Temara, Morocco",33.9038889,-6.9198284
Wafa Assurance - Bureau Direct SALE KARIA,Wafa assurance,Rabat,"Lot OUMAIMA 2 AVENUE MLY ABDELLAH HAY WAFAE, Salé 11004, Morocco",34.0264776,-6.7639374
Assurances Naciri (Wafa Assurance),Wafa assurance,Rabat,"Place d'Unité Africaine, 1 Rue er Riyad, Rabat, Morocco",34.0178814,-6.8291767
Ittihadia Assurance SARL (wafa assurance),Wafa assurance,Rabat,"214, AV. SALAM, APPT. NO, 2 Av. Mohamed V, Salé, Morocco",34.0543787,-6.7936889
wafa assurance Rabat,Wafa assurance,Rabat,"25F9+MV7, Rue Ziri Ibn Aatia, Rabat, Morocco",34.0241727,-6.8303146
Wafa Assurance Mahaj riad,Wafa assurance,Rabat,"X47M+6V8, Rue Joullanar, Rabat 10100, Morocco",33.9630401,-6.8652961
Service très médiocre,Wafa assurance,Rabat,"Residence Attawhid, Av. Hassan II, Témara, Morocco",33.9191661,-6.924079
Wafa Assurance - Al Bouraq,Wafa assurance,Rabat,"Route de Kenitra, Résidence Annour Magasin, الطريق الوطنية رقم 1، Salé, Morocco",34.0568544,-6.8068676
Wafa Assurance,Wafa assurance,Rabat,"X5W5+923, Av. Omar Ibn Al Khattab, Rabat, Morocco",33.9958882,-6.8424431
wafa assurance,Wafa assurance,Rabat,"X4F3+4X6, Av. Al Menzeh, Rabat, Morocco",33.9727905,-6.8951029
Wafa Assurance,Wafa assurance,Rabat,"33°51'01. 7°02'22.1""W, Rue N° 7, Temara, Morocco",33.8505116,-7.039389
wafa assurance Rabat,Wafa assurance,Rabat,"RES. EL MENZEH ANG. R/LE CAIRE & GHANDI Ave Mohammed V, Rabat, Morocco",34.0178782,-6.8356419
Wafa assurance,Wafa assurance,Rabat,"W4G4+99V, Temara, Morocco",33.9259799,-6.8940824
Wafa assurance تأمين الوفاء,Wafa assurance,Rabat,"Avenue Driss Ben BouChaib Al Hrizi, Res. Oussama 14، N°11 Magasin، Salé 11160, Morocco",34.0748762,-6.789147
Assurance de Voyage WAFA IMA ASSISTANCE RABAT,Wafa assurance,Rabat,"Millennium Business Center, Av. Mehdi Ben Barka, Rabat 12000, Morocco",33.9725705,-6.8421976
Wafa Assurance,Wafa assurance,Rabat,"26J2+8W3, Rue el Khair, Salé, Morocco",34.030877,-6.7977661
capital assurance conseil (wafaassurance),Wafa assurance,Rabat,"263 rue beni hmida، Rabat 10000, Morocco",33.9724338,-6.8202387
Wafaa Assurance,Wafa assurance,Rabat,"3 Pl. Melillia, Rabat 10020, Morocco",34.0224943,-6.8316375
